trial	condition	RT	correct
1	1	2.8564	1
2	2	1.8866	0
3	3	0.7131	1
4	4	3.1106	0
5	1	2.3817	1
6	2	1.72	0
7	3	0.6614	1
8	4	3.0142	1
9	1	2.7785	1
10	2	1.9319	0
11	3	0.764	1
12	4	2.2885	1
13	1	2.2104	1
14	2	2.2549	0
15	3	0.6488	1
16	4	2.9499	0
17	1	2.4848	1
18	2	1.9314	0
19	3	0.9443	1
20	4	2.7658	0
21	1	2.4727	1
22	2	1.7158	1
23	3	1.0554	1
24	4	2.6669	1
25	1	2.765	1
26	2	1.8039	0
27	3	1.106	1
28	4	2.5311	1
29	1	3.1417	1
30	2	1.6297	0
31	3	0.9175	1
32	4	2.607	1
33	1	2.663	1
34	2	1.7206	0
35	3	0.7138	1
36	4	2.7306	1
37	1	2.6728	1
38	2	1.7321	0
39	3	0.8601	1
40	4	2.5553	1
